dialogue,label,user
"Nah, I don't know... Still think Nakiri's better.",Jim,Harsh
Right Toby? Will you teach us self defense?,Meredith,Harsh
"Hey, you caught some of that?",Pam,Harsh
Great point.,Oscar,Harsh
Hey Jordana! Patch my ninth- and fourth-biggest clients together.,Michael,Harsh
"Didn’t think your affectionate nicknames would be your undoing, did you, Jim? Let that be a lesson to you all.",Dwight,Harsh
Do you think it’s a good idea?,Pam,Harsh
"I was just wondering, what kind of jobs do you guys have?",Darryl,Harsh
"Oh man. Oh, you know what, speaking of which, I was just trying to get a handle on, you know, numbers for food and stuff. So do you think that Roy's gonna come, or...",Darryl,Harsh
"Look at these scones, Jim. Thousands of them. What kind of a person steals scones from a baby?",Meredith,Harsh
Ow!,Dwight,Harsh
I got one queen size bed.,Jim,Harsh
"Well, what about the other stuff that has to be in today?",Michael,Harsh
Which ideally would be me….,Stanley,Harsh
"Wet cement, outside. It's drying fast, come on. This is a lifelong dream. What do I write? What do I write?",Michael,Harsh
Good choice.,Oscar,Harsh
"Uh, Phyllis got a good look.",Oscar,Harsh
Not classy at all.,Kevin,Harsh
Yeah.,Michael,Harsh
Okay.,Michael,Harsh
Hey D.,Michael,Harsh
"That makes sense, ’cause I feel like I’d be able to hear us at this level.",Michael,Harsh
Sorry.,Pam,Harsh
And that’s noon. Exactly.,Jim,Harsh
"Jim, this is hardly the time.",Dwight,Harsh
"All right, guys, stop.",Michael,Harsh
"Woah, there is a lot of brainpower in this room. We’ve got Michael and Oscar, the two smartest guys in the office, also in that order.",Jim,Harsh
See you later.,Michael,Harsh
"What are you doing? Stop it, Dwight!",Michael,Harsh
What the hell is going on here?!,Michael,Harsh
What’s wrong?,Michael,Harsh
You know there's a ghost in this office,Jim,Harsh
Actually I'm the electoral college.,Kelly,Harsh
That’s my go-to thermos. That’s all.,Phyllis,Harsh
You totally have. You have earned this. But maybe I could be with my wife. Kind of the whole reason that I’m here.,Darryl,Harsh
Guh.,Michael,Harsh
How long till we get to Mexico?,Michael,Harsh
Jim was nice enough to give me his bedroom.,Dwight,Harsh
Okay.,Michael,Harsh
What!,Michael,Harsh
"Okay, I think everybody just needs to relax.",Michael,Harsh
And the Christmas party.,Andy,Harsh
You've been to the lake before?,Pam,Harsh
"Yes. I need your sage advice. And everyone, whatever Hank decides, that is the decision. That will resolve this issue. Yeah, take as many as you want.",Ryan,Harsh
You'll fall in love with her.,Jim,Harsh
Left.,Michael,Harsh
Did the police solve the problem with the…,Oscar,Harsh
"I can't believe this. Hey you, ass!",Meredith,Harsh
Yes.,Michael,Harsh
Okay.,Michael,Harsh
Who wants a hot chocolate?,Michael,Harsh
What are you talking about?,Michael,Harsh
Tuna Tuna Tuna.,Andy,Harsh
And I'm a director.,Michael,Harsh
"Sure, sounds good. So why are you here? Is Josh busy?",Meredith,Harsh
"Oh yay! Geography joke. Oh! Wow! Okay. Alright, let's all go home. Come on. See you all tamale.",Michael,Harsh
Did it? It might have come up while we were waiting for you.,Pam,Harsh
"No, not at all. In fact, I’m not even taking it seriously. I think at the end of the day, I’m just gonna pick a name out of the hat.",Ryan,Harsh
Stop it! Stop it! Stop it!,Dwight,Harsh
Good.,Michael,Harsh
"Listen, you don't have to answer now. But how are you going to do your hair?",Angela,Harsh
"...now, $9.78, signs and discounts 7%.",Dwight,Harsh
I do. Both of them.,Michael,Harsh
Bring him the gabba-gool!,Michael,Harsh
"Okay, well, I just sorta meant, like, cute, right?",Kelly,Harsh
"Oh, well, that's fine.",Michael,Harsh
"You, you like that?",Michael,Harsh
"Well, tell us what it is. I mean, it would help us to get some context so we can get on board.",Jim,Harsh
"Dwight has been acting manager for three months now. No. A week. Just feels like three months. Let’s see, we all have to punch in to a time clock, which is very old, very strong, and has a slot about the size of a finger. We were all given new business cards big enough to set us apart from the competition, which is how I learned that our titles are all now Junior Employee. Our lunch breaks are staggered to prevent wasting time. Mine’s at 10:30, and I find that the first hour of the day goes by a lot quicker than the second seven hours.",Oscar,Harsh
From Jim.,Pam,Harsh
"Yes, yes, but it shows a bigger picture.",Michael,Harsh
All Right,Michael,Harsh
Why are you fixated on this hypothetical transgendered attacker?,Oscar,Harsh
We got the van at a used car lot. We think it says “Alleluia Church of Scranton.” in Korean. It was either this or an old school bus with an owl living in it.,Pam,Harsh
"I'm not firing him. I'm not, I need you to act like I am firing him. Just, what I'm going to do, is I'm going to pretend that I am firing him, and I need you to act like I am firing him. Do you get that? Do you get it? I'm teaching him a lesson. He needs to learn humility, alright? That's all I'm, okay, here he comes. Let's just... play act. Stanley, may I talk to you for a second?",Michael,Harsh
"A cute little religious type, someone who wears a uniform, or...",Michael,Harsh
He hit the pole!,Pam,Harsh
And I turned it down.,Michael,Harsh
Okay!,Pam,Harsh
